epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.389,1.39755,1.1012,1.51108,0.50192,0.39646,0.38974,0.17555,2.69,2.46306,2.83013,0.000408654,0.000408654,0.000408654
2,50.5932,1.45287,1.17128,1.53168,0.44553,0.30975,0.32008,0.14962,2.63382,3.17797,2.80949,0.00082527,0.00082527,0.00082527
3,73.8515,1.5222,1.27906,1.58505,0.35291,0.30434,0.2812,0.1292,2.71053,3.28927,2.84377,0.00124168,0.00124168,0.00124168
4,97.0302,1.54477,1.28776,1.59083,0.47051,0.4159,0.35196,0.1153,2.6732,3.02027,2.97245,0.00124931,0.00124931,0.00124931
5,120.187,1.50778,1.26886,1.56295,0.60795,0.39977,0.3539,0.16796,2.68741,3.2142,2.99707,0.00124878,0.00124878,0.00124878
6,143.518,1.47638,1.22729,1.55736,0.31628,0.25674,0.24735,0.10877,3.17184,4.09665,3.30118,0.00124809,0.00124809,0.00124809
7,166.734,1.49909,1.22357,1.56494,0.30192,0.35435,0.32966,0.15955,2.60196,2.56904,2.83708,0.00124725,0.00124725,0.00124725
8,190.085,1.49766,1.21751,1.57117,0.33339,0.31832,0.3445,0.16477,2.71239,2.72571,2.9322,0.00124626,0.00124626,0.00124626
9,213.282,1.46793,1.17669,1.53023,0.44894,0.39512,0.33325,0.11386,2.77229,2.53046,2.89559,0.00124512,0.00124512,0.00124512
10,236.451,1.48129,1.2237,1.55396,0.47784,0.3383,0.35981,0.15209,2.52039,2.64843,2.64853,0.00124383,0.00124383,0.00124383
11,259.984,1.40387,1.13896,1.496,0.45152,0.22864,0.25898,0.14381,2.48712,2.91065,2.69785,0.00124238,0.00124238,0.00124238
12,283.317,1.42376,1.13357,1.50903,0.39914,0.32975,0.29442,0.15749,2.66963,3.1463,2.8262,0.00124079,0.00124079,0.00124079
13,306.568,1.44741,1.15807,1.5195,0.42285,0.40335,0.35603,0.16853,2.67126,2.65368,2.88645,0.00123904,0.00123904,0.00123904
14,329.811,1.41084,1.13769,1.49599,0.43484,0.26598,0.23883,0.10383,2.73076,2.74653,3.03672,0.00123714,0.00123714,0.00123714
15,353.045,1.40762,1.10559,1.49255,0.32224,0.3448,0.24125,0.14148,2.73014,3.23667,2.80451,0.0012351,0.0012351,0.0012351
16,376.392,1.34955,1.07152,1.45323,0.37674,0.23079,0.20467,0.10427,2.79924,3.22995,2.99405,0.0012329,0.0012329,0.0012329
17,399.644,1.34073,1.02006,1.44207,0.62194,0.36969,0.3586,0.18918,2.62859,3.04542,2.79025,0.00123056,0.00123056,0.00123056
18,423.127,1.3677,1.04671,1.47336,0.50867,0.41249,0.38582,0.18413,2.5979,2.53246,2.69188,0.00122807,0.00122807,0.00122807
19,446.33,1.36805,1.08482,1.46836,0.51227,0.36102,0.36335,0.14403,2.70426,3.11262,2.98055,0.00122543,0.00122543,0.00122543
20,469.77,1.34934,1.07486,1.45551,0.52936,0.35521,0.36592,0.15598,2.60831,2.51365,2.76733,0.00122265,0.00122265,0.00122265
21,493.108,1.30058,0.99684,1.42205,0.6124,0.39657,0.44727,0.15437,2.62187,2.32752,2.92945,0.00121972,0.00121972,0.00121972
22,516.642,1.27344,0.97752,1.39875,0.26451,0.32869,0.30346,0.14506,2.56581,3.03043,2.85584,0.00121664,0.00121664,0.00121664
23,539.971,1.30646,1.02444,1.42534,0.53305,0.40488,0.40025,0.20783,2.53764,2.3122,2.84982,0.00121342,0.00121342,0.00121342
24,563.442,1.29515,0.99229,1.41365,0.56387,0.40016,0.37618,0.16231,2.60868,2.51111,2.73949,0.00121006,0.00121006,0.00121006
25,586.737,1.27982,0.98904,1.40376,0.54157,0.38544,0.38542,0.19903,2.54818,2.36266,2.74049,0.00120655,0.00120655,0.00120655
26,610.014,1.27388,0.98204,1.40328,0.39636,0.41902,0.34422,0.11314,2.83895,2.79051,3.09037,0.0012029,0.0012029,0.0012029
27,633.25,1.27845,0.97937,1.40344,0.42655,0.37998,0.37595,0.17937,2.60718,2.60311,2.78734,0.00119911,0.00119911,0.00119911
28,656.563,1.27707,0.98032,1.39532,0.4202,0.28112,0.32864,0.15204,2.74931,2.79599,3.05584,0.00119518,0.00119518,0.00119518
29,679.762,1.27731,0.94316,1.38363,0.51463,0.38039,0.3781,0.17091,2.63938,2.74067,2.9412,0.00119111,0.00119111,0.00119111
30,703.089,1.27263,0.9715,1.39578,0.50717,0.38346,0.37882,0.17192,2.62675,2.44145,2.90254,0.0011869,0.0011869,0.0011869
31,726.329,1.23584,0.93838,1.37272,0.4632,0.41615,0.37084,0.16813,2.61275,2.69636,2.86897,0.00118256,0.00118256,0.00118256
32,749.546,1.20211,0.90456,1.35935,0.39001,0.36809,0.3116,0.13993,2.69421,2.89654,2.99937,0.00117808,0.00117808,0.00117808
33,772.733,1.23369,0.9287,1.36775,0.57535,0.44907,0.39599,0.19136,2.56449,2.57392,2.82817,0.00117346,0.00117346,0.00117346
34,796.065,1.22858,0.92285,1.37473,0.3434,0.37667,0.32707,0.14694,2.66586,2.566,2.81784,0.00116872,0.00116872,0.00116872
35,819.214,1.18418,0.88279,1.33955,0.45987,0.32767,0.31362,0.14358,2.69366,3.26442,2.92978,0.00116383,0.00116383,0.00116383
36,842.469,1.20144,0.91253,1.35869,0.63361,0.29207,0.35574,0.15211,2.75306,2.64929,2.98692,0.00115882,0.00115882,0.00115882
37,865.621,1.18344,0.87528,1.33865,0.32632,0.36278,0.27925,0.12,2.62024,3.33044,2.89403,0.00115368,0.00115368,0.00115368
38,888.879,1.18365,0.86008,1.3291,0.48022,0.40697,0.40073,0.17113,2.52018,2.41459,2.80852,0.00114841,0.00114841,0.00114841
39,912.652,1.16471,0.85023,1.328,0.42505,0.32743,0.31621,0.14293,2.55081,2.7304,2.7552,0.00114301,0.00114301,0.00114301
40,935.903,1.16837,0.86109,1.32337,0.36689,0.4692,0.36545,0.15776,2.59952,2.85778,2.88259,0.00113748,0.00113748,0.00113748
41,959.204,1.17065,0.87398,1.32571,0.46467,0.43162,0.39559,0.19837,2.52522,2.75212,2.72137,0.00113183,0.00113183,0.00113183
42,982.462,1.13698,0.81897,1.29128,0.48245,0.36147,0.37285,0.17255,2.53444,2.88638,2.79834,0.00112605,0.00112605,0.00112605
43,1005.74,1.11718,0.80224,1.29671,0.39034,0.3985,0.36667,0.14774,2.58794,2.80961,2.92,0.00112016,0.00112016,0.00112016
44,1029.17,1.13284,0.84153,1.3115,0.43356,0.35146,0.33087,0.14014,2.60841,2.70286,2.89568,0.00111414,0.00111414,0.00111414
45,1052.41,1.11672,0.81183,1.30489,0.41085,0.45093,0.38813,0.16321,2.57164,2.51835,2.83681,0.00110801,0.00110801,0.00110801
46,1075.71,1.14858,0.84165,1.31774,0.43054,0.41859,0.37015,0.18458,2.54348,2.63944,2.75773,0.00110175,0.00110175,0.00110175
47,1099.24,1.13154,0.8235,1.3012,0.46149,0.42731,0.38553,0.18055,2.52505,2.58412,2.87505,0.00109538,0.00109538,0.00109538
48,1122.52,1.08921,0.78388,1.28105,0.51044,0.33866,0.37838,0.18934,2.53818,2.70135,2.88669,0.0010889,0.0010889,0.0010889
49,1145.72,1.09479,0.78818,1.27664,0.39185,0.38931,0.36545,0.17064,2.69984,2.70251,2.97931,0.0010823,0.0010823,0.0010823
50,1168.85,1.06728,0.76296,1.25628,0.57238,0.4164,0.40681,0.18756,2.62698,2.64692,2.84715,0.00107559,0.00107559,0.00107559
51,1192.87,1.10373,0.79362,1.28165,0.50518,0.33299,0.3171,0.13438,2.73985,3.04176,2.87986,0.00106877,0.00106877,0.00106877
52,1216.74,1.09584,0.79181,1.27768,0.52407,0.41542,0.39196,0.17536,2.54604,2.863,2.93484,0.00106185,0.00106185,0.00106185
53,1240.77,1.0762,0.76651,1.25949,0.47427,0.36278,0.35262,0.13543,2.6223,2.97825,2.97181,0.00105481,0.00105481,0.00105481
54,1264.69,1.04586,0.74591,1.25279,0.41133,0.41006,0.37106,0.16945,2.654,2.60818,2.96841,0.00104768,0.00104768,0.00104768
55,1288.57,1.06481,0.76863,1.25459,0.57631,0.3834,0.41873,0.17301,2.53953,2.58078,2.89036,0.00104044,0.00104044,0.00104044
56,1312.47,1.03607,0.72866,1.23723,0.31686,0.29753,0.23625,0.09537,2.74253,3.21873,3.05843,0.0010331,0.0010331,0.0010331
